Name,Type,Score
intel core i7-6700hq @ 2.60ghz,laptop,0.07883073451790966
vivo i1927,android,0.07870314409659267
xiaomi m2102k1g,android,0.07864942181393288
samsung sm-n981n,android,0.07843453268329371
realme rmx3031,android,0.07840767154196382
xiaomi mi 10,android,0.07835394925930403
apple iphone xs,ios,0.07825321997931692
google volteer,android,0.07819278241132466
samsung galaxy s20 ultra 5g (snapdragon),android,0.07816592126999476
vivo i2019,android,0.0781323448433324
realme rmx3370,android,0.07809205313133755
xiaomi m2104k10i,android,0.07803161556334529
sony xperia 5 ii,android,0.07794431685402313
oppo cph2207,android,0.07781672643270612
samsung galaxy s20 (exynos),android,0.07777643472071129
intel core i5-4590 @ 3.30ghz,desktop,0.0777697194353788
xiaomi m2012k11ai,android,0.07750782330741234
xiaomi 2112123ag,android,0.07715191318479123
intel core i5-10210u @ 1.60ghz,laptop,0.07698403105147937
intel core i5-8350u @ 1.70ghz,laptop,0.0767489960648428
motorola edge 40,android,0.0767489960648428
samsung sm-g996n,android,0.07673556549417784
apple iphone xs max,ios,0.07667512792618558
intel core i7-2600k @ 3.40ghz,desktop,0.07667512792618558
realme rmx3371,android,0.07648038465154385
intel core i3-8100 @ 3.60ghz,desktop,0.07644680822488148
amd ryzen 3 3200g,desktop,0.076440092939549
apple iphone xr,ios,0.0763662248008918
huawei jad-lx9,android,0.07630578723289952
lge lm-v600v,android,0.07605732167559799
google pixel 5,android,0.07598345353694079
vivo v2105,android,0.0757752796916341
intel core i5-4570 @ 3.20ghz,desktop,0.07562754341431968
intel core i5-7500 @ 3.40ghz,desktop,0.07552681413433257
xiaomi 22021211ri,android,0.07531864028902588
realme rmx2076,android,0.0751843345823764
intel core i7-2600 @ 3.40ghz,desktop,0.07511718172905167
oneplus dn2101,android,0.07476127160643056
xiaomi 21061110ag,android,0.07468740346777335
intel core i5-3570k @ 3.40ghz,desktop,0.0746471117557785
intel core i5-8265u @ 1.60ghz,laptop,0.07456652833178881
amd ryzen 5 3550h,laptop,0.07455309776112387
huawei matepad pro,android,0.07435163920114966
huawei p40,android,0.07429791691848987
intel core i5-3570 @ 3.40ghz,desktop,0.07363981895590743
xiaomi m2012k10c,android,0.07361967309991002
amd ryzen 3 2200g,desktop,0.07339806868393838
intel core i5-8250u @ 1.60ghz,laptop,0.07320332540929664
xiaomi mi 10 pro,android,0.0727802624333508
oppo cph2293,android,0.07249150516405442
huawei lio-l29,android,0.0724444981667271
samsung sm-x610,android,0.07242435231072969
blackshark shark prs-h0,android,0.07228333131874773
samsung sm-x510,android,0.07220274789475804
intel core i3-1115g4 @ 3.00ghz,laptop,0.07187369891346683
intel core i5-6500 @ 3.20ghz,desktop,0.07160508750016788
intel core i5-4460 @ 3.20ghz,desktop,0.07114844809755967
huawei vrd-w10,android,0.07034932914299528
samsung galaxy s10e (exynos),android,0.0702956068603355
asus rog phone ii,android,0.07010086358569376
samsung sm-x616b,android,0.07009414830036129
intel core i5-3470 @ 3.20ghz,desktop,0.06996655787904428
samsung galaxy s10 plus (exynos),android,0.06991283559638449
samsung galaxy note 10 plus (exynos),android,0.06981882160172986
samsung galaxy note 10 (exynos),android,0.06976509931907007
intel core i5-7400 @ 3.00ghz,desktop,0.06954349490309843
huawei p40 pro,android,0.06951663376176853
samsung galaxy s10 (exynos),android,0.0692211612071397
samsung sm-a546w,android,0.06898612622050311
realme rmx2121,android,0.06898612622050311
amd fx-6300 six-core,desktop,0.06893911922317579
samsung scv42,android,0.06869065366587426
samsung sm-a546b,android,0.06866379252454437
oppo cph2201,android,0.06858320910055468
samsung sm-a546u1,android,0.06843547282324026
samsung sm-m625f,android,0.06835488939925058
huawei hw-02l,android,0.0682205836926011
samsung sm-a546e,android,0.06820043783660368
apple iphone 8 plus,ios,0.06818029198060625
samsung sm-a546u,android,0.06808627798595163
amd ryzen 5 3500u,laptop,0.06784452771398257
apple iphone x,ios,0.06760949272734598
sony j9260,android,0.06756920101535115
samsung galaxy s10 5g (exynos),android,0.0674013188820393
xiaomi m2007j1sc,android,0.06695811005009603
samsung sm-a5460,android,0.06693124890876613
samsung galaxy tab s6 10.5 (2019),android,0.06692453362343366
lge lm-g900tm,android,0.0668909571967713
samsung galaxy s10e (snapdragon),android,0.06681037377278161
huawei evr-l29,android,0.06679694320211665
huawei p30 pro,android,0.06664249163946977
apple iphone 8,ios,0.06659548464214245
huawei lya-al00,android,0.0665551929301476
huawei ele-l04,android,0.06644774836482802
lge lm-g820n,android,0.06634030379950843
oneplus 7 pro 5g,android,0.06627986623151617
samsung galaxy note 10 plus 5g (exynos),android,0.06609855352753939
huawei honor view 20,android,0.06609855352753939
intel core i5-6400 @ 2.70ghz,desktop,0.06609855352753939
samsung sm-t575,android,0.0660448312448796
lge g8 thinq,android,0.06601125481821722
sony xperia 1,android,0.06574935869025075
samsung galaxy s10 plus (snapdragon),android,0.06561505298360128
oneplus 7t,android,0.06529271928764253
lge lm-v510n,android,0.0651987052929879
xiaomi mi mix 3 5g,android,0.06511812186899821
oppo cph1921,android,0.06480921874370442
sony j9210,android,0.06480250345837195
samsung galaxy s10 (snapdragon),android,0.064789072887707
oneplus 7t pro,android,0.06471520474904979
huawei vog-al10,android,0.06456075318640289
intel core i5-7300hq @ 2.50ghz,laptop,0.06456075318640289
